date,strategy,training_start,training_end,training_observations,condition_number,minimum_eigenvalue,shrinkage,effective_n_assets,largest_weight
2022-07-01,sample_min_variance,2021-07-01,2022-06-30,252,120.52906213149916,4.122383535895315e-06,,3.252865012046943,0.4000000000000001
2022-07-01,quarterly_equal_weight,2021-07-01,2022-06-30,252,,,,9.0,0.1111111111111111
2022-07-01,ledoit_wolf_min_variance,2021-07-01,2022-06-30,252,45.74366757394031,1.0386788379682714e-05,0.05307021853156692,3.428637007258852,0.4000000000000001
2022-10-03,quarterly_equal_weight,2021-10-01,2022-09-30,252,,,,9.0,0.1111111111111111
2022-10-03,inverse_volatility,2021-10-01,2022-09-30,252,,,,7.767764721889861,0.2071246042990703
2022-10-03,ledoit_wolf_min_variance,2021-10-01,2022-09-30,252,51.38861092428325,1.1307947055806765e-05,0.04167899993433357,3.507074944347674,0.4000000000000001
2022-10-03,sample_min_variance,2021-10-01,2022-09-30,252,107.01712098517768,5.6306166541929545e-06,,3.386980681036316,0.4
2023-01-03,quarterly_equal_weight,2021-12-31,2022-12-30,252,,,,9.0,0.1111111111111111
2023-01-03,inverse_volatility,2021-12-31,2022-12-30,252,,,,7.790992086778308,0.20964295962404242
2023-01-03,ledoit_wolf_min_variance,2021-12-31,2022-12-30,252,60.340763002370956,1.2575812996067963e-05,0.03667172644012261,3.2924572884870953,0.40000000000000013
2023-01-03,sample_min_variance,2021-12-31,2022-12-30,252,117.44509674438277,6.679139330794692e-06,,3.195428749128283,0.39999999999999997
2023-04-03,quarterly_equal_weight,2022-03-31,2023-03-31,252,,,,9.0,0.1111111111111111
2023-04-03,inverse_volatility,2022-03-31,2023-03-31,252,,,,7.898912814740886,0.2067421455946434
2023-04-03,sample_min_variance,2022-03-31,2023-03-31,252,129.39130705871878,5.9580669511862564e-06,,3.1574258625707587,0.3999999999999999
2023-04-03,ledoit_wolf_min_variance,2022-03-31,2023-03-31,252,71.4782843010085,1.0479248254209396e-05,0.030670852094092982,3.2677746628794075,0.39999999999999986
2023-07-03,ledoit_wolf_min_variance,2022-06-30,2023-06-30,252,64.4391207299169,8.908629609755054e-06,0.03870241656492241,3.175751749377583,0.40000000000000013
2023-07-03,sample_min_variance,2022-06-30,2023-06-30,252,141.698688395556,4.19514501332689e-06,,3.0131498549296025,0.3999999999999999
2023-07-03,inverse_volatility,2022-06-30,2023-06-30,252,,,,7.948673574038356,0.20643060561723747
2023-07-03,quarterly_equal_weight,2022-06-30,2023-06-30,252,,,,9.0,0.1111111111111111
2023-10-02,inverse_volatility,2022-09-29,2023-09-29,252,,,,7.939176780693757,0.20823536186927363
2023-10-02,sample_min_variance,2022-09-29,2023-09-29,252,145.14684615218243,3.406249547321428e-06,,3.110599217990701,0.39999999999999997
2023-10-02,quarterly_equal_weight,2022-09-29,2023-09-29,252,,,,9.0,0.1111111111111111
2023-10-02,ledoit_wolf_min_variance,2022-09-29,2023-09-29,252,59.285675922265064,8.005338259846171e-06,0.045915726362507424,3.3269356014601343,0.4
2024-01-02,inverse_volatility,2022-12-29,2023-12-29,252,,,,8.019554076045669,0.20387059389043394
2024-01-02,quarterly_equal_weight,2022-12-29,2023-12-29,252,,,,9.0,0.1111111111111111
2024-01-02,ledoit_wolf_min_variance,2022-12-29,2023-12-29,252,64.1151375437541,5.252349065443089e-06,0.03622030534663917,3.8859104517456413,0.3999999999999999
2024-01-02,sample_min_variance,2022-12-29,2023-12-29,252,151.76704947780865,2.290496990649801e-06,,3.8873372307524603,0.3999999999999999
2024-04-01,quarterly_equal_weight,2023-03-29,2024-03-28,252,,,,9.0,0.1111111111111111
2024-04-01,ledoit_wolf_min_variance,2023-03-29,2024-03-28,252,69.67159917163583,4.209107087764618e-06,0.035318781069270735,3.9111518109588066,0.4
2024-04-01,inverse_volatility,2023-03-29,2024-03-28,252,,,,7.879801914375413,0.21395251937566434
2024-04-01,sample_min_variance,2023-03-29,2024-03-28,252,167.48145213686075,1.8069422665444857e-06,,3.9010508738746563,0.4
2024-07-01,quarterly_equal_weight,2023-06-29,2024-06-28,252,,,,9.0,0.1111111111111111
2024-07-01,inverse_volatility,2023-06-29,2024-06-28,252,,,,7.868729897046666,0.21519211724137324
