lookback,cost_bps,strategy,start,end,observations,cagr,annual_volatility,sharpe,max_drawdown,historical_var_95,historical_cvar_95,final_wealth,total_turnover,annualized_turnover,total_cost_fraction,rebalance_count
252,10.0,inverse_volatility,2013-01-02,2025-12-31,3270,0.04474221149858315,0.07574598692994827,0.6158409328967474,-0.20562265533177726,0.007051180784142412,0.011248601210740571,1.7646811626189407,4.244164667851218,0.32707324045825903,0.004244164667851219,52
252,10.0,sample_min_variance,2013-01-02,2025-12-31,3270,0.03503316220124564,0.0623243564223848,0.5837086546562836,-0.19231563066763513,0.005702088143457255,0.009132490577891112,1.5633254111218842,8.465640626240848,0.652397993214891,0.008465640626240847,52
252,10.0,ledoit_wolf_min_variance,2013-01-02,2025-12-31,3270,0.034645289229431775,0.06237123327466557,0.5773058107133724,-0.19408742057383266,0.005770729878857326,0.00914393520414828,1.5557403770560412,8.152802409688594,0.628289360012699,0.008152802409688593,52
252,10.0,spy,2013-01-02,2025-12-31,3270,0.14794686216298714,0.16935613634181956,0.8998095383771667,-0.33717257794660527,0.015999060408584242,0.025761626354362712,5.991788834627417,1.0,0.07706422018348624,0.001,1
252,25.0,buy_and_hold_equal_weight,2013-01-02,2025-12-31,3270,0.06112519466636335,0.10144152113613239,0.6358053020505886,-0.22954638961507334,0.009477454198785202,0.015047747655138296,2.159497225024108,1.0,0.07706422018348624,0.0025,1
252,25.0,quarterly_equal_weight,2013-01-02,2025-12-31,3270,0.054048276614627744,0.09144817795723495,0.6215074792057006,-0.2053023141224103,0.008541694745549186,0.013481569654761903,1.9798953470954728,3.106236077787449,0.23937966104050065,0.007765590194468621,52
252,25.0,inverse_volatility,2013-01-02,2025-12-31,3270,0.04422950270698278,0.07573875429917712,0.6094104231790137,-0.20596203093320786,0.007051180784142412,0.011250977378925171,1.7534764878818416,4.244164667851218,0.32707324045825903,0.010610411669628046,52
252,25.0,sample_min_variance,2013-01-02,2025-12-31,3270,0.03402006454254769,0.062313987379361786,0.5680782004971447,-0.19307656187550581,0.005702088143457255,0.009135069713319701,1.5435852895948388,8.465640626240848,0.652397993214891,0.02116410156560212,52
252,25.0,ledoit_wolf_min_variance,2013-01-02,2025-12-31,3270,0.033670024293406264,0.062361825982343945,0.5622594377931788,-0.19486785277020324,0.005793584232797177,0.009146876347425167,1.536818437316607,8.152802409688594,0.628289360012699,0.02038200602422148,52
252,25.0,spy,2013-01-02,2025-12-31,3270,0.14781393876032567,0.16933986754083238,0.8991958596148388,-0.3371725779466056,0.015999060408584242,0.025761626354362712,5.982792154695544,1.0,0.07706422018348624,0.0025,1
